balcony,bathroom_number,bedroom_number,construction_year,describtion,energy_certificate,garage,heater,internetspeed_maximum,living_space,object_condition,power_consumption,property_type,room_number,total_price
,,,,,,,,,,,,,, 1.000.000 € 
,," Winter 2020 , Winter 2020 ",2020,"In der im Landkreis München gelegenen Gemeinde Höhenkirchen-Siegertsbrunn erstellen wir für Sie in der Zimmerhansenstr. 4 ein neues und modernes Mehrfamilienhaus mit 5 Eigentumswohnungen, ruhig gelegen, mit hochwertiger Grundausstattung, in solider, massiver Ziegelbauweise. Die moderne Ausstattung und die ausschließliche Verwendung hochwertiger Baumaterialien gibt Ihnen die Sicherheit, dass Sie eine Immobilie mit bester Wertbeständigkeit besitzen werden. Die Wohnungen sind hell und lichtdurchflutet konzipiert. Individuelle Wünsche bei der Ausstattung sind je nach Baufortschritt möglich. Zögern Sie nicht lange, wenn Sie in einem maßgeschneiderten Zuhause leben möchten - wir erfüllen Ihre Wünsche gerne.

Wohnung 2 (EG)
Wohnfläche ca. 105,54 m²
Nutzfläche ca. 39,36 m²
mit 2 Terrassen, ca. 104 m² Garten und Kellerabteil
Verkaufspreis 759.700 €
(zzgl. 59.800 € für 2 Tiefgaragenstellplätze und 9.500 € für 1 Außenstellplatz)

Weitere Wohnungen:
Die Wohnungen 1, 3, 4 und 5 sind bereits verkauft.",,,,," 105,54 m² ",, liegt vor , Erdgeschosswohnung ," 39,36 m² ",
,," 4 , 4 ",1966,"Die hier angebotene 4 Zimmer Maisonette-Penthouse-Dachterrassen Wohnung entstand im Jahre 2018 durch die Verbindung eines Appartements mit einer 3 Zimmer Wohnung. Das zweistöckige Haus (plus Penthouse) wurde 1966 erbaut. Im zweiten Obergeschoss geht´s in die hellen, freundlichen Räume. Eine offene Küche mit einer breiten Fensterfront ist für Sie und Ihre Gäste bereit. Die Einbauküche mit Wein-Kühlschrank, einem Kochfeld mit integriertem Dunstabzug sowie der gemütliche Essplatz ist ein erstes „Highlight“. Eine begehbare Garderobe, ein weiteres Zimmer mit Loggia, das Tageslichtbad mit Wanne ist ideal auch als Gästebad mit WC. Die Wendeltreppe führt in das Penthouse mit einem weiten Blick über die Dächer von Ottobrunn. So macht Wohnen Freude! Im großzügig geschnitten Wohnbereich ist ein Kaminoffen für kuschelige Abende, eine ausfahrbare Leinwand für „Public Viewing“ zu Hause und bodentiefe Fenster mit Schiebelementen zur Dachterrasse. Die Hochwertigkeit der Ausstattung zeigt sich in den neuen Türen mit exklusiven Beschlägen ebenso wie in der Gestaltung der neuen Bäder, großformatige Wandfliesen ein reizvoller Akzent, Rainshower-Dusche, WC, Waschtisch und Marken-Armaturen machen die Bäder zu „Wohlfühl-Oasen“. Vom ersten Kaffee am Morgen bis zum entspannten Drink am Abend genießen sie hier den weiten Blick und die Ruhe über den Dächern von Ottobrunn. Bei der Ausgestaltung der Dachterrasse wurden ca. 250 m² Garapa Terrassendielen verlegt. Diese luxuriöse Dachterrassen-Wohnung ist für anspruchsvolle Singles oder Paare, die gerne über den Dingen schweben, gleichermaßen geeignet.",,,,, 151 m² ,, Öl , Penthouse , 310 m² , 
,," ab Herbst 2020 , ab Herbst 2020 ",2006,"- Top Lage in Neubiberg
- S-Bahn in 3 Minuten fußläufig erreichbar 
- Einkaufsmöglichkeiten fußläufig erreichbar
- Exklusive Wohnanlage (5 Parteien)
- Aufzug direkt in die Wohnung
- Schöner sonniger Balkon mit Südsüdwest Ausrichtung
- Sehr helle Räume
- Fußbodenheizung in der gesamten Wohnung
- Offener Kamin
- Maßangefertigte Einbauschränke in der Wohnung		
- Großer Galeriebereich mit Glaswänden
- Parkett / Schieferboden
- Separater Waschmaschinenanschluss im Untergeschoss
- Türen ca. 2,50 m Höhe
- BUS System
- Maßangefertigte Einbauküche mit SIEMENS Geräten
- Separates Gäste WC
- Maßangefertigte Kunstschlossertreppe mit integrierter Beleuchtung
- Beschattungsanlage",,,,, 127 m² ,, liegt vor , Maisonette , 7 m² , 
,," sofort , sofort ",1993,"Die 2-Zimmer Dachgeschoss-Maisonette-Wohnung erstreckt sich über das 1. und 2. Obergeschoss eines sehr charmanten, gepflegten Mehrfamilienhauses in Pullach.

Die Wohnung bietet aufgrund der Dachschrägen und der teilweise großen Raumhöhe eine besonders gemütliche und romantische Wohnatmosphäre. Dank der Ausrichtung nach Süd-Westen und den großen Fensterflächen ist die Wohnung sehr hell. 

Wenn Sie die Wohnung betreten gelangen Sie direkt in das Herzstück der Wohnung, das großzügig geschnittene, helle Wohnzimmer. Von hier haben Sie Zugang auf die nach Westen ausgerichtete, sonnige Dachterrasse, auf der Sie in Zukunft viele Feierabende in der Abendsonne verbringen werden.

Vom Wohnzimmer gelangen Sie zudem in die Küche, das Badezimmer sowie über eine Wendeltreppe in die obere Etage. Hier befindet sich eine Galerie mit Blick ins Wohnzimmer sowie das Schlafzimmer.

Der Wohnung ist ein 9 m² großer Kellerraum sowie ein Tiefgaragenstellplatz zugeordnet. Im Keller gibt es einen Waschraum mit Anschluss für die eigene Waschmaschine.",,,,," 76,37 m² ",, Bedarfsausweis , Dachgeschoss ," 89,95 m² ", 
,,,1980,"Ein sehr gepflegtes Anwesen aus den 80er Jahren und eine historische Villa bilden heute dieses geschmackvolle, postmoderne
Ensemble, das die herrschaftliche Bauweise der ehemaligen Dr. Scholl Villa auch heute noch erkennen läßt.
Die Dachgeschosswohnung (mit Lift) erstreckt sich über drei Etagen (ab dem II. Obergeschoss) und verdient zurecht die Bezeichnung ""Haus im Haus"".
Jede Etage ist über einen separaten
Eingang zugänglich und so stehen Ihnen diverse Nutzungsmöglichkeiten offen. Herzstück dieser Wohnung ist neben dem
offenen Wohnbereich (ca. 60 m²) mit angrenzender Westterrasse die großzügige Wohnküche mit Zugang auf den Ostbalkon.
Eine Etage höher stehen Ihnen vier Zimmer sowie zwei Bäder zu Verfügung. 
Die dritte Wohnebene befindet sich im Dachspitz des Hauses und bildet derzeit ein
eigenständiges Apartment mit einer Galerie sowie Küchenzeile und Duschbad.
Zur Wohnung gehören ein Kellerabteil sowie ein Garagenstellplatz für EUR 30.000,-.
_ historisch geprägtes Gesamtensemble
exponierte Lage auf der Prinz-Ludwigs-Höhe
_ uneinsehbare West-Loggia & großer Frühstücksbalkon mit Traumblick
_ sehr ruhige Lage
_ nur 21 Parteien im Haus bilden die WEG
_ Hauswirtschaftsraum
_ Kamin (Bioethanol)
_ gemeinschaftliche Benützung des parkähnlichen Gartens (ca. 3000 m²
Gesamtgrundstück)
_ sehr gepflegtes Gemeinschaftseigentum (in den vergangenen 5 Jahren:
z.B. Erneuerung d. Heizungsanlage, Renovierung d. Fassade)
_ hochwertige Einbauten
_ kanadisches Ahorn-Dielenparkett
_ moderne Bäder
_ elegante Poggenpohl Einbauküche
_ lichtdurchflutete Räume durch bodentiefe Fenster
_ zahlreiche, schreinergefertigte Einbauschränke
_ abgeschlossenes Kellerabteil
_ Waschkeller mit Anschlüssen für private Geräte
",,,,, 247 m² ,,, Dachgeschoss ,, 
,," 1 , 1 ",,"In den 60er-Jahren als Vorzeigeobjekt gebaut und vor kurzem umfangreich saniert, eröffnet ""Die NEUE Parksiedlung"" in Oberschleißheim beste Perspektiven für renditebewusste Anleger und Selbstnutzer - vom kleinen Appartement für Singles, Pendler und Studenten bis zum Penthouse für Paare und Familien.
 
Auszug aus den Sanierungsmaßnahmen im Gemeinschaftseigentum in 2015 / 2016:
• Energetische Sanierung und Gestaltung der Fassaden und des Bodenaufbaus der Balkone Dachflächen- und Attikasanierung
• Sanierung Treppenhäuser und Flure
• Überarbeitung und Neugestaltung der Hauseingangsbereiche
• Brandschutztechnische Maßnahmen Treppenräume / Flure der Wohngebäude
• Brandschutztechnische Maßnahmen Tiefgarage
• Überarbeitung Wärmeverteilnetz, Dämmung der Leitungen, Austausch der Ventile
• Erneuerung Fernwärmestationen
• Entlüftung innenliegender Bäder und WC’s
• Abwasserinstallationen, Warmwasserbereiter, Anlagenteile Wasserinstallation
• Rauchabzugsanlagen in Treppenhäusern erstellt
• Baugruppen Elektro erneuert: Zähleranlagen, Klingelanlagen, Verkabelung Allgemeinflächen, Wohnungszuleitungen
• Überarbeitung bzw. Erneuerung der Aufzugsbremsen, Antriebssteuerung und Kabinen
• Sanierung der Grundleitung für Schmutzwasser vom Hausanschluss bis zum Kanalanschluss in der Straße
• Verlegung der Schmutzwassersammelleitungen an die Unterseite der Decke UG",,,,," 31,73 m² ",,, Etagenwohnung , 1 , 
,," 1 , 1 ",,"In den 60er-Jahren als Vorzeigeobjekt gebaut und vor kurzem umfangreich saniert, eröffnet ""Die NEUE Parksiedlung"" in Oberschleißheim beste Perspektiven für renditebewusste Anleger und Selbstnutzer - vom kleinen Appartement für Singles, Pendler und Studenten bis zum Penthouse für Paare und Familien.
 
Auszug aus den Sanierungsmaßnahmen im Gemeinschaftseigentum in 2015 / 2016:
• Energetische Sanierung und Gestaltung der Fassaden und des Bodenaufbaus der Balkone Dachflächen- und Attikasanierung
• Sanierung Treppenhäuser und Flure
• Überarbeitung und Neugestaltung der Hauseingangsbereiche
• Brandschutztechnische Maßnahmen Treppenräume / Flure der Wohngebäude
• Brandschutztechnische Maßnahmen Tiefgarage
• Überarbeitung Wärmeverteilnetz, Dämmung der Leitungen, Austausch der Ventile
• Erneuerung Fernwärmestationen
• Entlüftung innenliegender Bäder und WC’s
• Abwasserinstallationen, Warmwasserbereiter, Anlagenteile Wasserinstallation
• Rauchabzugsanlagen in Treppenhäusern erstellt
• Baugruppen Elektro erneuert: Zähleranlagen, Klingelanlagen, Verkabelung Allgemeinflächen, Wohnungszuleitungen
• Überarbeitung bzw. Erneuerung der Aufzugsbremsen, Antriebssteuerung und Kabinen
• Sanierung der Grundleitung für Schmutzwasser vom Hausanschluss bis zum Kanalanschluss in der Straße
• Verlegung der Schmutzwassersammelleitungen an die Unterseite der Decke UG",,,,," 55,4 m² ",,, Etagenwohnung , 2 , 
,," Sofort , Sofort ",1965,"Seltene Gelegenheit. Erstbezug. Penthouse im 9. ten Obergeschoss, freistehend mit einer umlaufenden  Terrasse und einer nach Süden hin sich weit öffnenden Garten- und Freifläche von ca. 240 qm bietet unglaubliche Freiräume und einen gigantischen Panoramablick über München bis hin zu den Alpen.

Ein eigener kleiner Bunglow im 9ten Stock mit einer Terrasse, die schier unendlich ist. Der Grundriss kann flexibel auf Ihre Wohnsituation angepasst werden. Die Fläche der Wohnung verteilt sich auf 100 qm.",,,,, 168 m² ,, Fernwärme , Penthouse , 240 m² , 
,," 3 , 3 ",1984,"Objekt
Diese freundliche, schöne Wohnung befindet sich im Hochparterre eines 1984 erbauten Mehrfamilienhauses. Der praktische Grundriss bietet ein gut geschnittenes und großzügiges Wohnzimmer mit offener Küche und Essplatz, ein ruhiges Schlafzimmer, ein geräumiges Kinderzimmer und ein Badezimmer mit Badewanne und Toilette.

Vom hellen Treppenhaus betreten Sie die Wohnung über eine geräumige Diele. 

Das sonnige, lichtdurchflutete Wohnzimmer mit offener Küche lässt individuelle Gestaltungsmöglichkeiten zu und bietet ausreichend Platz für Wohn- und Essbereich. Vom Wohnzimmer aus betreten Sie die nach Süden ausgerichtete Loggia. Entspannung pur!

Das ruhige Schlafzimmer verspricht wohltuende Erholung nach einem anstrengenden Tag. 

Darüber hinaus steht Ihnen in der Wohnung ein weiterer Bereich als Büro oder Kinderzimmer zur Verfügung..

Die moderne Einbauküche ist mit hochwertigen Markengeräten und Arbeitsplatte bestückt und wird Hobbyköche begeistern.

Im Badezimmer befinden sich eine Badewanne, ein Waschbecken und ein WC. 

Die Wohnräume sind mit Parkett versehen. Helle Wände und die optimale Süd-Ausrichtung der Wohnung sorgen für ein freundliches, luftiges Ambiente. 

Zur Wohnung gehören ein Duplex-Tiefgaragenstellplatz und ein Kellerabteil. Selbstverständlich stehen der Eigentümergemeinschaft ein Fahrrad-, Wasch- und Trockenraum zur Verfügung.

Kaufpreis Wohnung : 526.000,00 €
Kaufpreis TG-Duplex:   23.000,00 €
Gesamt Preis:              549.000,00 €",,,,," 85,87 m² ",, liegt vor , Hochparterre ," 2,54 m² ", 
