balcony,bathroom_number,bedroom_number,construction_year,describtion,energy_certificate,garage,heater,internetspeed_maximum,living_space,object_condition,power_consumption,property_type,room_number,total_price
,,,,,,,, 50 MBit/s ,,,,,, 698.000 € 
,," 4 , 4 ",1966,"Die hier angebotene 4 Zimmer Maisonette-Penthouse-Dachterrassen Wohnung entstand im Jahre 2018 durch die Verbindung eines Appartements mit einer 3 Zimmer Wohnung. Das zweistöckige Haus (plus Penthouse) wurde 1966 erbaut. Im zweiten Obergeschoss geht´s in die hellen, freundlichen Räume. Eine offene Küche mit einer breiten Fensterfront ist für Sie und Ihre Gäste bereit. Die Einbauküche mit Wein-Kühlschrank, einem Kochfeld mit integriertem Dunstabzug sowie der gemütliche Essplatz ist ein erstes „Highlight“. Eine begehbare Garderobe, ein weiteres Zimmer mit Loggia, das Tageslichtbad mit Wanne ist ideal auch als Gästebad mit WC. Die Wendeltreppe führt in das Penthouse mit einem weiten Blick über die Dächer von Ottobrunn. So macht Wohnen Freude! Im großzügig geschnitten Wohnbereich ist ein Kaminoffen für kuschelige Abende, eine ausfahrbare Leinwand für „Public Viewing“ zu Hause und bodentiefe Fenster mit Schiebelementen zur Dachterrasse. Die Hochwertigkeit der Ausstattung zeigt sich in den neuen Türen mit exklusiven Beschlägen ebenso wie in der Gestaltung der neuen Bäder, großformatige Wandfliesen ein reizvoller Akzent, Rainshower-Dusche, WC, Waschtisch und Marken-Armaturen machen die Bäder zu „Wohlfühl-Oasen“. Vom ersten Kaffee am Morgen bis zum entspannten Drink am Abend genießen sie hier den weiten Blick und die Ruhe über den Dächern von Ottobrunn. Bei der Ausgestaltung der Dachterrasse wurden ca. 250 m² Garapa Terrassendielen verlegt. Diese luxuriöse Dachterrassen-Wohnung ist für anspruchsvolle Singles oder Paare, die gerne über den Dingen schweben, gleichermaßen geeignet.", Zentralheizung , 2 ,, 100 MBit/s , 151 m² ,, Öl , Penthouse , 310 m² , 
,," ab Herbst 2020 , ab Herbst 2020 ",2006,"- Top Lage in Neubiberg
- S-Bahn in 3 Minuten fußläufig erreichbar 
- Einkaufsmöglichkeiten fußläufig erreichbar
- Exklusive Wohnanlage (5 Parteien)
- Aufzug direkt in die Wohnung
- Schöner sonniger Balkon mit Südsüdwest Ausrichtung
- Sehr helle Räume
- Fußbodenheizung in der gesamten Wohnung
- Offener Kamin
- Maßangefertigte Einbauschränke in der Wohnung		
- Großer Galeriebereich mit Glaswänden
- Parkett / Schieferboden
- Separater Waschmaschinenanschluss im Untergeschoss
- Türen ca. 2,50 m Höhe
- BUS System
- Maßangefertigte Einbauküche mit SIEMENS Geräten
- Separates Gäste WC
- Maßangefertigte Kunstschlossertreppe mit integrierter Beleuchtung
- Beschattungsanlage", Gas , 1 ,, 100 MBit/s , 127 m² ,, liegt vor , Maisonette , 7 m² , 
,," 1 , 1 ",,"In den 60er-Jahren als Vorzeigeobjekt gebaut und vor kurzem umfangreich saniert, eröffnet ""Die NEUE Parksiedlung"" in Oberschleißheim beste Perspektiven für renditebewusste Anleger und Selbstnutzer - vom kleinen Appartement für Singles, Pendler und Studenten bis zum Penthouse für Paare und Familien.
 
Auszug aus den Sanierungsmaßnahmen im Gemeinschaftseigentum in 2015 / 2016:
• Energetische Sanierung und Gestaltung der Fassaden und des Bodenaufbaus der Balkone Dachflächen- und Attikasanierung
• Sanierung Treppenhäuser und Flure
• Überarbeitung und Neugestaltung der Hauseingangsbereiche
• Brandschutztechnische Maßnahmen Treppenräume / Flure der Wohngebäude
• Brandschutztechnische Maßnahmen Tiefgarage
• Überarbeitung Wärmeverteilnetz, Dämmung der Leitungen, Austausch der Ventile
• Erneuerung Fernwärmestationen
• Entlüftung innenliegender Bäder und WC’s
• Abwasserinstallationen, Warmwasserbereiter, Anlagenteile Wasserinstallation
• Rauchabzugsanlagen in Treppenhäusern erstellt
• Baugruppen Elektro erneuert: Zähleranlagen, Klingelanlagen, Verkabelung Allgemeinflächen, Wohnungszuleitungen
• Überarbeitung bzw. Erneuerung der Aufzugsbremsen, Antriebssteuerung und Kabinen
• Sanierung der Grundleitung für Schmutzwasser vom Hausanschluss bis zum Kanalanschluss in der Straße
• Verlegung der Schmutzwassersammelleitungen an die Unterseite der Decke UG",,,,," 51,3 m² ",,, Etagenwohnung , 2 , 
,," 1 , 1 ",,"In den 60er-Jahren als Vorzeigeobjekt gebaut und vor kurzem umfangreich saniert, eröffnet ""Die NEUE Parksiedlung"" in Oberschleißheim beste Perspektiven für renditebewusste Anleger und Selbstnutzer - vom kleinen Appartement für Singles, Pendler und Studenten bis zum Penthouse für Paare und Familien.
 
Auszug aus den Sanierungsmaßnahmen im Gemeinschaftseigentum in 2015 / 2016:
• Energetische Sanierung und Gestaltung der Fassaden und des Bodenaufbaus der Balkone Dachflächen- und Attikasanierung
• Sanierung Treppenhäuser und Flure
• Überarbeitung und Neugestaltung der Hauseingangsbereiche
• Brandschutztechnische Maßnahmen Treppenräume / Flure der Wohngebäude
• Brandschutztechnische Maßnahmen Tiefgarage
• Überarbeitung Wärmeverteilnetz, Dämmung der Leitungen, Austausch der Ventile
• Erneuerung Fernwärmestationen
• Entlüftung innenliegender Bäder und WC’s
• Abwasserinstallationen, Warmwasserbereiter, Anlagenteile Wasserinstallation
• Rauchabzugsanlagen in Treppenhäusern erstellt
• Baugruppen Elektro erneuert: Zähleranlagen, Klingelanlagen, Verkabelung Allgemeinflächen, Wohnungszuleitungen
• Überarbeitung bzw. Erneuerung der Aufzugsbremsen, Antriebssteuerung und Kabinen
• Sanierung der Grundleitung für Schmutzwasser vom Hausanschluss bis zum Kanalanschluss in der Straße
• Verlegung der Schmutzwassersammelleitungen an die Unterseite der Decke UG",,,,," 55,4 m² ",,, Etagenwohnung , 2 , 
,,,1980,"Ein sehr gepflegtes Anwesen aus den 80er Jahren und eine historische Villa bilden heute dieses geschmackvolle, postmoderne
Ensemble, das die herrschaftliche Bauweise der ehemaligen Dr. Scholl Villa auch heute noch erkennen läßt.
Die Dachgeschosswohnung (mit Lift) erstreckt sich über drei Etagen (ab dem II. Obergeschoss) und verdient zurecht die Bezeichnung ""Haus im Haus"".
Jede Etage ist über einen separaten
Eingang zugänglich und so stehen Ihnen diverse Nutzungsmöglichkeiten offen. Herzstück dieser Wohnung ist neben dem
offenen Wohnbereich (ca. 60 m²) mit angrenzender Westterrasse die großzügige Wohnküche mit Zugang auf den Ostbalkon.
Eine Etage höher stehen Ihnen vier Zimmer sowie zwei Bäder zu Verfügung. 
Die dritte Wohnebene befindet sich im Dachspitz des Hauses und bildet derzeit ein
eigenständiges Apartment mit einer Galerie sowie Küchenzeile und Duschbad.
Zur Wohnung gehören ein Kellerabteil sowie ein Garagenstellplatz für EUR 30.000,-.
_ historisch geprägtes Gesamtensemble
exponierte Lage auf der Prinz-Ludwigs-Höhe
_ uneinsehbare West-Loggia & großer Frühstücksbalkon mit Traumblick
_ sehr ruhige Lage
_ nur 21 Parteien im Haus bilden die WEG
_ Hauswirtschaftsraum
_ Kamin (Bioethanol)
_ gemeinschaftliche Benützung des parkähnlichen Gartens (ca. 3000 m²
Gesamtgrundstück)
_ sehr gepflegtes Gemeinschaftseigentum (in den vergangenen 5 Jahren:
z.B. Erneuerung d. Heizungsanlage, Renovierung d. Fassade)
_ hochwertige Einbauten
_ kanadisches Ahorn-Dielenparkett
_ moderne Bäder
_ elegante Poggenpohl Einbauküche
_ lichtdurchflutete Räume durch bodentiefe Fenster
_ zahlreiche, schreinergefertigte Einbauschränke
_ abgeschlossenes Kellerabteil
_ Waschkeller mit Anschlüssen für private Geräte
",,,, 50 MBit/s , 247 m² ,,, Dachgeschoss ,, 
,," 1 , 1 ",,"In den 60er-Jahren als Vorzeigeobjekt gebaut und vor kurzem umfangreich saniert, eröffnet ""Die NEUE Parksiedlung"" in Oberschleißheim beste Perspektiven für renditebewusste Anleger und Selbstnutzer - vom kleinen Appartement für Singles, Pendler und Studenten bis zum Penthouse für Paare und Familien.
 
Auszug aus den Sanierungsmaßnahmen im Gemeinschaftseigentum in 2015 / 2016:
• Energetische Sanierung und Gestaltung der Fassaden und des Bodenaufbaus der Balkone Dachflächen- und Attikasanierung
• Sanierung Treppenhäuser und Flure
• Überarbeitung und Neugestaltung der Hauseingangsbereiche
• Brandschutztechnische Maßnahmen Treppenräume / Flure der Wohngebäude
• Brandschutztechnische Maßnahmen Tiefgarage
• Überarbeitung Wärmeverteilnetz, Dämmung der Leitungen, Austausch der Ventile
• Erneuerung Fernwärmestationen
• Entlüftung innenliegender Bäder und WC’s
• Abwasserinstallationen, Warmwasserbereiter, Anlagenteile Wasserinstallation
• Rauchabzugsanlagen in Treppenhäusern erstellt
• Baugruppen Elektro erneuert: Zähleranlagen, Klingelanlagen, Verkabelung Allgemeinflächen, Wohnungszuleitungen
• Überarbeitung bzw. Erneuerung der Aufzugsbremsen, Antriebssteuerung und Kabinen
• Sanierung der Grundleitung für Schmutzwasser vom Hausanschluss bis zum Kanalanschluss in der Straße
• Verlegung der Schmutzwassersammelleitungen an die Unterseite der Decke UG",,,,," 31,73 m² ",,, Etagenwohnung , 1 , 
,," 3 , 3 ",1984,"Objekt
Diese freundliche, schöne Wohnung befindet sich im Hochparterre eines 1984 erbauten Mehrfamilienhauses. Der praktische Grundriss bietet ein gut geschnittenes und großzügiges Wohnzimmer mit offener Küche und Essplatz, ein ruhiges Schlafzimmer, ein geräumiges Kinderzimmer und ein Badezimmer mit Badewanne und Toilette.

Vom hellen Treppenhaus betreten Sie die Wohnung über eine geräumige Diele. 

Das sonnige, lichtdurchflutete Wohnzimmer mit offener Küche lässt individuelle Gestaltungsmöglichkeiten zu und bietet ausreichend Platz für Wohn- und Essbereich. Vom Wohnzimmer aus betreten Sie die nach Süden ausgerichtete Loggia. Entspannung pur!

Das ruhige Schlafzimmer verspricht wohltuende Erholung nach einem anstrengenden Tag. 

Darüber hinaus steht Ihnen in der Wohnung ein weiterer Bereich als Büro oder Kinderzimmer zur Verfügung..

Die moderne Einbauküche ist mit hochwertigen Markengeräten und Arbeitsplatte bestückt und wird Hobbyköche begeistern.

Im Badezimmer befinden sich eine Badewanne, ein Waschbecken und ein WC. 

Die Wohnräume sind mit Parkett versehen. Helle Wände und die optimale Süd-Ausrichtung der Wohnung sorgen für ein freundliches, luftiges Ambiente. 

Zur Wohnung gehören ein Duplex-Tiefgaragenstellplatz und ein Kellerabteil. Selbstverständlich stehen der Eigentümergemeinschaft ein Fahrrad-, Wasch- und Trockenraum zur Verfügung.

Kaufpreis Wohnung : 526.000,00 €
Kaufpreis TG-Duplex:   23.000,00 €
Gesamt Preis:              549.000,00 €", Gas , 1 ,, 100 MBit/s ," 85,87 m² ",, liegt vor , Hochparterre ," 2,54 m² ", 
,," 1 , 1 ",1971,"Zentral gelegene 2,5 Zimmer Penthouse Wohnung mit dreiseitiger Dachterrasse und direkter Nähe zum Perlacher Forst. 
Hier können Sie sofort selbst einziehen oder vermieten. Über das helle Treppenhaus gelangen Sie bequem in das 2. und oberste Geschoss des gepflegten Mehrfamilienhauses mit insgesamt 24 Wohnungen. Essdiele und Flur bilden eine Einheit. Wohnzimmer und Schlafzimmer haben einen direkten Zugang zur Dachterrasse die sich über Süden, Westen und Nordseite erstreckt. Die Wohnung wurde 2014 außen komplett neu gedämmt. Es liegt kein Instandhaltungsstau vor, es sind ausreichend Instandhaltungsrücklagen vorhanden und aus den Protokollen gehen keine anstehenden Sanierungsmaßnahmen hervor.  Zur Wohnung gehört noch eine Einzelgarage der zusätzlich zum Kaufpreis mit 20.000,-€ berechnet wird. Der Kaufpreis setzt sich zusammen wie folgt: Wohnung 575.000 Euro + Einzelgarage 20.000 Euro = Gesamtkaufpreis 595.000 Euro.
Der Anteil an der Instandhaltungsrücklage beträgt für diese Wohnung insgesamt € 4.900,89 die Gesamtsumme der Instandhaltungsrücklage der gesamten Wohnanlage beträgt € 75.0415,60 (Stand 31.12.2018). 
Die Wohnung ist frei zum Selbstbezug.", Verbrauchsausweis , 1 Garage ,, 100 MBit/s ," 97,75 m² ",," 140,7 kWh/(m²*a) ", Penthouse ," 2,5 ", 
,," 3 , 3 ",1985,"Als 100%ige Tochtergesellschaft der Münchner Bank eG bieten wir Ihnen im Alleinauftrag dieses Penthouse mit einem lebenslangen, nicht vererbbaren Nießbrauchrecht für den 69jährigen Eigentümer an.

Die Immobilie ist derzeit ausschließlich zur Kapitalanlage geeignet, ein Selbstbezug ist vorerst nicht möglich, generell jedoch eine jederzeitige Weiterveräußerung.

Der Nießbrauch bedeutet, dass der Verkäufer die Wohnung für den Rest seines Lebens nutzen kann – dies schließt auch eine evtl. Vermietung mit ein. Ein Entgelt wird hierfür nicht bezahlt, jedoch bezahlt der Verkäufer die üblicherweise auf einen Mieter umlegbaren Nebenkosten, hier im Speziellen eine Sonderumlage sowie evtl. anfallende Schönheitsreparaturen.

Das Penthouse liegt im 6. Obergeschoss einer gepflegten Wohnanlage und besticht durch eine Dachterrasse mit unverbaubarem Blick über die gesamte Alpenkette. Es teilt sich in ein großes, lichtdurchflutetes Wohnzimmer, eine Küche mit Abstellkammer, ein Schlafzimmer mit Ankleide, ein Kinderzimmer, ein Badezimmer und ein separates WC auf. 

Das Badezimmer verfügt über eine Eckbadewanne, eine Dampfdusche, ein Waschbecken und eine lichtdurchlässige Kuppel, die geöffnet werden kann.

Das Highlight der Wohnung ist definitiv die ca. 71 m² große Dachterrasse, die derzeit umlaufend angelegt ist. Nach einer bereits beschlossenen Sanierung des Daches wird sie voraussichtlich ausschließlich nach Süden ausgerichtet sein, in der Größe aber unverändert bleiben. Aus diesem Grund werden derzeit die Rücklagen aufgebaut, was die Höhe des Hausgeldes erklärt.

Der Wohnung ist ein TG-Einzelstellplatz als Sondernutzungsrecht zugeordnet.

Aus Gründen der Privatsphäre des Eigentümers veröffentlichen wir keine Innenfotos - wir bitten um Ihr Verständnis.
", C ,,, 100 MBit/s ," 120,31 m² ",,, Penthouse , Nießbrauch für den Verkäufer , 
